On Atlantic_herring,663804.9883,748976.6857,816095.9159,1054598.329,1343326.97,2607891.42,4144605.681,4593080.549,3404600.132,3300933.402,3159520.945,2622624.68,2757304.17,1759608.802,1655409.705,1393198.587,754683.8445,797505.4215,511335.8613,821343.0942,512501.4869,537702.6078,657320.6338,713384.7225,861323.1822,880198.7877,1456691.079,1368419.457,1217196.212,912879.2228,1065372.429,8131002.275,4911455.358,4127242.995,6619846.705,6805955.048,7293333.869,2108700.263,2150401.074,2451103.443,2849494.012,2810251.301,3482571.894,3480987.797,3422541.207,3998228.565,3651179.25,3482967.918,4397685.099,2276351.11,1821065.047
On Atlantic_cod,195256.8,129210,92407.44,121147.2,124200,142440,179779.2,107884.8,113140.92,81359.88,106131.12,132908.4,128470.8,185246.4,106419.48,109804.08,78658.92,87017.52,107869.68,132410.4,126709.2,138854.4,36889.6,41967.36,27299.32,15082.722,16345.35,26672.4,20162.88,18109.8,24592.14,17203.8816,18322.16112,15777.07632,8575.034544,11206.01304,18463.41216,14686.57397,15494.84365,11423.38523,14822.96497,16011.30956,16167.96105,15913.04538,15135.17672,13952.7235,12891.73829,13006.77318,12212.01392,13783.69979,11882.79118
On Goosefish,10600,9328,6776,10208,13068,14036,10604,11308,10054,8360,14652,11506,7880,7500,6200,5260,8060,7860,9000,10640,16960,24400,27040,35520,31760,26080,28320,31120,28400,31520,46160,39200,32320,41840,52000,94800,55600,86400,82000,77400,89568,84384,81792,128160,104832,101952,59904,56736,61632,80640,65088
On Yellowtail,170745.6,84907.2,51999.6,60718.8,64761.2,70809.2,52706.8,93048.8,74235.6,87634,91996,27986.4,29666.4,39284.8,43228.4,31143.2,33343.6,33281.8,35290.2,27534.8,44932.8,36169,11745.12,26999.232,14063.712,13107.168,21463.776,21073.92,13351.776,15503.808,20992.128,17524.608,20316.576,21633.024,14947.12032,12328.29312,13570.27584,22675.5936,24582.21132,32190.96545,30143.20119,25167.28996,21215.97815,50678.87489,29282.55316,34326.57923,28406.76677,18853.14091,30929.75189,22951.06788,16508.03412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVARIATE TS,-1.60786591,-1.682114451,-1.426369476,-1.385120287,-1.28062234,-1.376870449,-1.320496556,-1.247622988,-1.024877364,-1.189874123,-0.942378985,-1.029002283,-0.903879741,-0.754007686,-0.664634442,-0.653634658,-0.68663401,-0.648134766,-0.34151579,-0.490012873,-0.183393897,-0.219143194,-0.242517735,-0.22189314,-0.160019356,0.149349566,0.202973512,0.092975673,0.307471459,0.380345027,0.402344595,0.326721081,0.55634157,0.710338544,0.578341137,0.750212761,0.692463895,0.721338328,1.049956871,1.005957736,1.071956439,1.162704656,1.243828062,1.373075523,1.440449199,1.298826982,1.377200442,1.509197849,1.729193526,1.549072065,0
STDEV STOCHASTIC GROWTH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STDEV STOCHASTIC CATCH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demersal,1,1,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelagic,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth Form,Linear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predation Form,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvest Form,CATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within Guild Competition Form,NO_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between Guild Competition Form,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stochastic Growth,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stochastic Catch,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Type,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Runs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historical End,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Length,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Step,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Output Type,SKILL ASSESSMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA GENERATIONS,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA POPULATION SIZE,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA MUTATION RATE,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA CONVERGENCE NUMBER,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atlantic_herring,Atlantic_cod,Goosefish,Yellowtail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INITIAL BIOMASS MIN,10000,10000,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INITIAL BIOMASS MAX,10000000,10000000,600000,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atlantic_herring,Atlantic_cod,Goosefish,Yellowtail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY Q MIN,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURVEY Q MAX,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Atlantic_herring,Atlantic_cod,Goosefish,Yellowtail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROWTH RATE MIN,0.01,0.01,0.6,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROWTH RATE MAX,3,3,1.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECIES K MIN,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECIES K MAX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between Species Interaction Coefficient Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_3,1.00E-12,4.65E-10,4.22E-10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_4,0,1.00E-12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_5,0,0,1.00E-08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_6,0,0,0,1.00E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between Species Interaction Coefficient Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_3,1.00E-05,4.65E-07,0.000000422,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_4,0.00E+00,1.00E-05,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_5,0.00E+00,0.00E+00,1.00E-06,0.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_6,0.00E+00,0.00E+00,0.00E+00,1.00E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predation Loss Rates Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predation Loss Rates Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On name_6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
